1,2,3,4,5,6,7,8,9,10,11
0.785714286,1,0.583333333,0.886369033,0.2,0.00389661,0.6,0.55,0.119230769,0.798657718,0
0.071428571,0.5,0,0.384825457,0,0.00389661,0,0.305340909,0.038942308,0.127516779,0
0.142857143,0.333333333,0.041666667,0.552600332,0,0.00389661,0,0.194431818,0.528846154,0.516778523,0
0.357142857,0.833333333,0,0.570885775,0.2,0.369658397,0.2,0.225795455,0.150961538,0.093959732,0
0.071428571,0.166666667,0,0.399548801,0,0.73905702,0.2,0.179090909,0.480288462,0.100671141,0
0.714285714,0.5,0.041666667,0.645927333,0.8,0.88362125,0.2,0.323181818,0.212019231,0.053691275,0
0,0.166666667,0,0.27333175,0,0.88362125,0.2,0.312159091,0.041346154,0.11409396,0
0.571428571,0.833333333,0.25,0.747090952,0.4,0.019093389,0,0.342159091,0.272115385,0.342281879,0
0.214285714,0.5,0.125,0.459154595,0,0.05753994,0.2,0.317045455,0.221153846,0.127516779,0
0.071428571,0.833333333,0.5,0.524459748,0.8,0.044291466,0.2,0.625,0.621634615,0.604026846,0
0,0.666666667,0.458333333,0.373664213,0,0.019353163,0.2,0.577272727,0.336538462,0.348993289,0
0.071428571,0.5,0.125,0.460223225,0.6,0.015066892,0.2,0.007954545,0.075961538,0.167785235,0
0.035714286,0.166666667,0.083333333,0.46995963,0,0.013638135,0.2,0.007954545,0.037980769,0.32885906,0
0.571428571,0.833333333,0.416666667,0.80479696,0.2,0.00389661,0,0.007954545,0.620192308,0.651006711,0
0.285714286,0.5,0.125,0.659938257,0,0,0,0.007954545,0.200961538,0.395973154,0
0.071428571,0.166666667,0.083333333,0.578247447,0,0.00389661,0,0.007954545,0.240865385,0.624161074,0
1,0.833333333,0.166666667,0.9342199,0.4,0.286530718,0.2,0.528522727,0.215384615,0.456375839,0
0.642857143,0.666666667,0.041666667,0.755165044,0,0.602156124,0.2,0.568181818,0.312019231,0.369127517,0
0.142857143,0.333333333,0,0.359415816,0,0.093128978,0.2,0.532386364,0.016346154,0.040268456,0
0.357142857,0.666666667,0.416666667,0.789123724,0.4,0.011559943,0.2,0.568181818,0.407211538,0.711409396,0
0.285714286,0.5,0.208333333,0.622773688,0,0.012209378,0.2,0.357954545,0.054326923,0.261744966,0
0.142857143,0.333333333,0.125,0.370458323,0,0.00389661,0.2,0.568181818,0.121153846,0.255033557,0
1,0.666666667,0.083333333,0.663262883,0.4,0.882971815,0,0.164204545,0.287980769,0.805369128,0
0.5,0.333333333,0.083333333,0.606506768,0,0.529159631,0.6,0.2525,0.025,0.32885906,0
0.428571429,0.666666667,0,0.815720731,0.4,0.060527341,0.2,0.007954545,0.136057692,0.751677852,0
